Text,Author,Tags
"“This life is what you make it. No matter what, you're going to mess up sometimes, it's a universal truth. But the good part is you get to decide how you're going to mess it up. Girls will be your friends - they'll act like it anyway. But just remember, some come, some go. The ones that stay with you through everything - they're your true best friends. Don't let go of them. Also remember, sisters make the best friends in the world. As for lovers, well, they'll come and go too. And baby, I hate to say it, most of them - actually pretty much all of them are going to break your heart, but you can't give up because if you give up, you'll never find your soulmate. You'll never find that half who makes you whole and that goes for everything. Just because you fail once, doesn't mean you're gonna fail at everything. Keep trying, hold on, and always, always, always believe in yourself, because if you don't, then who will, sweetie? So keep your head high, keep your chin up, and most importantly, keep smiling, because life's a beautiful thing and there's so much to smile about.”",Elie Wiesel,"activism,apathy,hate,indifference,inspirational,love,opposite,philosophy"
"“This life is what you make it. No matter what, you're going to mess up sometimes, it's a universal truth. But the good part is you get to decide how you're going to mess it up. Girls will be your friends - they'll act like it anyway. But just remember, some come, some go. The ones that stay with you through everything - they're your true best friends. Don't let go of them. Also remember, sisters make the best friends in the world. As for lovers, well, they'll come and go too. And baby, I hate to say it, most of them - actually pretty much all of them are going to break your heart, but you can't give up because if you give up, you'll never find your soulmate. You'll never find that half who makes you whole and that goes for everything. Just because you fail once, doesn't mean you're gonna fail at everything. Keep trying, hold on, and always, always, always believe in yourself, because if you don't, then who will, sweetie? So keep your head high, keep your chin up, and most importantly, keep smiling, because life's a beautiful thing and there's so much to smile about.”",Friedrich Nietzsche,"friendship,lack-of-friendship,lack-of-love,love,marriage,unhappy-marriage"
"“This life is what you make it. No matter what, you're going to mess up sometimes, it's a universal truth. But the good part is you get to decide how you're going to mess it up. Girls will be your friends - they'll act like it anyway. But just remember, some come, some go. The ones that stay with you through everything - they're your true best friends. Don't let go of them. Also remember, sisters make the best friends in the world. As for lovers, well, they'll come and go too. And baby, I hate to say it, most of them - actually pretty much all of them are going to break your heart, but you can't give up because if you give up, you'll never find your soulmate. You'll never find that half who makes you whole and that goes for everything. Just because you fail once, doesn't mean you're gonna fail at everything. Keep trying, hold on, and always, always, always believe in yourself, because if you don't, then who will, sweetie? So keep your head high, keep your chin up, and most importantly, keep smiling, because life's a beautiful thing and there's so much to smile about.”",Mark Twain,"books,contentment,friends,friendship,life"
"“This life is what you make it. No matter what, you're going to mess up sometimes, it's a universal truth. But the good part is you get to decide how you're going to mess it up. Girls will be your friends - they'll act like it anyway. But just remember, some come, some go. The ones that stay with you through everything - they're your true best friends. Don't let go of them. Also remember, sisters make the best friends in the world. As for lovers, well, they'll come and go too. And baby, I hate to say it, most of them - actually pretty much all of them are going to break your heart, but you can't give up because if you give up, you'll never find your soulmate. You'll never find that half who makes you whole and that goes for everything. Just because you fail once, doesn't mean you're gonna fail at everything. Keep trying, hold on, and always, always, always believe in yourself, because if you don't, then who will, sweetie? So keep your head high, keep your chin up, and most importantly, keep smiling, because life's a beautiful thing and there's so much to smile about.”",Allen Saunders,"fate,life,misattributed-john-lennon,planning,plans"
"“I love you without knowing how, or when, or from where. I love you simply, without problems or pride: I love you in this way because I do not know any other way of loving but this, in which there is no I or you, so intimate that your hand upon my chest is my hand, so intimate that when I fall asleep your eyes close.”",Pablo Neruda,"love,poetry"
"“I love you without knowing how, or when, or from where. I love you simply, without problems or pride: I love you in this way because I do not know any other way of loving but this, in which there is no I or you, so intimate that your hand upon my chest is my hand, so intimate that when I fall asleep your eyes close.”",Ralph Waldo Emerson,happiness
"“I love you without knowing how, or when, or from where. I love you simply, without problems or pride: I love you in this way because I do not know any other way of loving but this, in which there is no I or you, so intimate that your hand upon my chest is my hand, so intimate that when I fall asleep your eyes close.”",Mother Teresa,attributed-no-source
"“I love you without knowing how, or when, or from where. I love you simply, without problems or pride: I love you in this way because I do not know any other way of loving but this, in which there is no I or you, so intimate that your hand upon my chest is my hand, so intimate that when I fall asleep your eyes close.”",Garrison Keillor,"humor,religion"
"“I love you without knowing how, or when, or from where. I love you simply, without problems or pride: I love you in this way because I do not know any other way of loving but this, in which there is no I or you, so intimate that your hand upon my chest is my hand, so intimate that when I fall asleep your eyes close.”",Jim Henson,humor
"“I love you without knowing how, or when, or from where. I love you simply, without problems or pride: I love you in this way because I do not know any other way of loving but this, in which there is no I or you, so intimate that your hand upon my chest is my hand, so intimate that when I fall asleep your eyes close.”",Dr. Seuss,"comedy,life,yourself"
"“I love you without knowing how, or when, or from where. I love you simply, without problems or pride: I love you in this way because I do not know any other way of loving but this, in which there is no I or you, so intimate that your hand upon my chest is my hand, so intimate that when I fall asleep your eyes close.”",Albert Einstein,"children,fairy-tales"
"“I love you without knowing how, or when, or from where. I love you simply, without problems or pride: I love you in this way because I do not know any other way of loving but this, in which there is no I or you, so intimate that your hand upon my chest is my hand, so intimate that when I fall asleep your eyes close.”",J.K. Rowling,
"“I love you without knowing how, or when, or from where. I love you simply, without problems or pride: I love you in this way because I do not know any other way of loving but this, in which there is no I or you, so intimate that your hand upon my chest is my hand, so intimate that when I fall asleep your eyes close.”",Albert Einstein,imagination
"“I love you without knowing how, or when, or from where. I love you simply, without problems or pride: I love you in this way because I do not know any other way of loving but this, in which there is no I or you, so intimate that your hand upon my chest is my hand, so intimate that when I fall asleep your eyes close.”",Bob Marley,music
"“The more that you read, the more things you will know. The more that you learn, the more places you'll go.”",Dr. Seuss,"learning,reading,seuss"
"“The more that you read, the more things you will know. The more that you learn, the more places you'll go.”",J.K. Rowling,dumbledore
"“The more that you read, the more things you will know. The more that you learn, the more places you'll go.”",Bob Marley,friendship
"“The more that you read, the more things you will know. The more that you learn, the more places you'll go.”",Mother Teresa,"misattributed-to-mother-teresa,paraphrased"
"“The more that you read, the more things you will know. The more that you learn, the more places you'll go.”",J.K. Rowling,"death,inspirational"
"“The more that you read, the more things you will know. The more that you learn, the more places you'll go.”",Charles M. Schulz,"chocolate,food,humor"
"“The more that you read, the more things you will know. The more that you learn, the more places you'll go.”",William Nicholson,"misattributed-to-c-s-lewis,reading"
"“The more that you read, the more things you will know. The more that you learn, the more places you'll go.”",Albert Einstein,"knowledge,learning,understanding,wisdom"
"“The more that you read, the more things you will know. The more that you learn, the more places you'll go.”",Jorge Luis Borges,"books,library"
"“The more that you read, the more things you will know. The more that you learn, the more places you'll go.”",George Eliot,inspirational
"“A reader lives a thousand lives before he dies, said Jojen. The man who never reads lives only one.”",George R.R. Martin,"read,readers,reading,reading-books"
"“A reader lives a thousand lives before he dies, said Jojen. The man who never reads lives only one.”",C.S. Lewis,"books,inspirational,reading,tea"
"“A reader lives a thousand lives before he dies, said Jojen. The man who never reads lives only one.”",Marilyn Monroe,
"“A reader lives a thousand lives before he dies, said Jojen. The man who never reads lives only one.”",Marilyn Monroe,"girls,love"
"“A reader lives a thousand lives before he dies, said Jojen. The man who never reads lives only one.”",Albert Einstein,"life,simile"
"“A reader lives a thousand lives before he dies, said Jojen. The man who never reads lives only one.”",Marilyn Monroe,love
"“A reader lives a thousand lives before he dies, said Jojen. The man who never reads lives only one.”",Marilyn Monroe,attributed-no-source
"“A reader lives a thousand lives before he dies, said Jojen. The man who never reads lives only one.”",Martin Luther King Jr.,"hope,inspirational"
"“A reader lives a thousand lives before he dies, said Jojen. The man who never reads lives only one.”",J.K. Rowling,dumbledore
"“A reader lives a thousand lives before he dies, said Jojen. The man who never reads lives only one.”",James Baldwin,love
"“There is nothing I would not do for those who are really my friends. I have no notion of loving people by halves, it is not my nature.”",Jane Austen,"friendship,love"
"“There is nothing I would not do for those who are really my friends. I have no notion of loving people by halves, it is not my nature.”",Eleanor Roosevelt,"attributed,fear,inspiration"
"“There is nothing I would not do for those who are really my friends. I have no notion of loving people by halves, it is not my nature.”",Marilyn Monroe,attributed-no-source
"“There is nothing I would not do for those who are really my friends. I have no notion of loving people by halves, it is not my nature.”",Albert Einstein,music
"“There is nothing I would not do for those who are really my friends. I have no notion of loving people by halves, it is not my nature.”",Haruki Murakami,"books,thought"
"“There is nothing I would not do for those who are really my friends. I have no notion of loving people by halves, it is not my nature.”",Alexandre Dumas fils,misattributed-to-einstein
"“There is nothing I would not do for those who are really my friends. I have no notion of loving people by halves, it is not my nature.”",Stephenie Meyer,"drug,romance,simile"
"“There is nothing I would not do for those who are really my friends. I have no notion of loving people by halves, it is not my nature.”",Ernest Hemingway,"books,friends,novelist-quotes"
"“There is nothing I would not do for those who are really my friends. I have no notion of loving people by halves, it is not my nature.”",Helen Keller,inspirational
"“There is nothing I would not do for those who are really my friends. I have no notion of loving people by halves, it is not my nature.”",George Bernard Shaw,"inspirational,life,yourself"
"“That's the problem with drinking, I thought, as I poured myself a drink. If something bad happens you drink in an attempt to forget; if something good happens you drink in order to celebrate; and if nothing happens you drink to make something happen.”",Charles Bukowski,alcohol
"“That's the problem with drinking, I thought, as I poured myself a drink. If something bad happens you drink in an attempt to forget; if something good happens you drink in order to celebrate; and if nothing happens you drink to make something happen.”",Suzanne Collins,the-hunger-games
"“That's the problem with drinking, I thought, as I poured myself a drink. If something bad happens you drink in an attempt to forget; if something good happens you drink in order to celebrate; and if nothing happens you drink to make something happen.”",Suzanne Collins,humor
"“That's the problem with drinking, I thought, as I poured myself a drink. If something bad happens you drink in an attempt to forget; if something good happens you drink in order to celebrate; and if nothing happens you drink to make something happen.”",C.S. Lewis,love
"“That's the problem with drinking, I thought, as I poured myself a drink. If something bad happens you drink in an attempt to forget; if something good happens you drink in order to celebrate; and if nothing happens you drink to make something happen.”",J.R.R. Tolkien,"bilbo,journey,lost,quest,travel,wander"
"“That's the problem with drinking, I thought, as I poured myself a drink. If something bad happens you drink in an attempt to forget; if something good happens you drink in order to celebrate; and if nothing happens you drink to make something happen.”",J.K. Rowling,live-death-love
"“That's the problem with drinking, I thought, as I poured myself a drink. If something bad happens you drink in an attempt to forget; if something good happens you drink in order to celebrate; and if nothing happens you drink to make something happen.”",Ernest Hemingway,"good,writing"
"“That's the problem with drinking, I thought, as I poured myself a drink. If something bad happens you drink in an attempt to forget; if something good happens you drink in order to celebrate; and if nothing happens you drink to make something happen.”",Ralph Waldo Emerson,"life,regrets"
"“That's the problem with drinking, I thought, as I poured myself a drink. If something bad happens you drink in an attempt to forget; if something good happens you drink in order to celebrate; and if nothing happens you drink to make something happen.”",Mark Twain,education
"“That's the problem with drinking, I thought, as I poured myself a drink. If something bad happens you drink in an attempt to forget; if something good happens you drink in order to celebrate; and if nothing happens you drink to make something happen.”",Dr. Seuss,troubles
“If I had a flower for every time I thought of you...I could walk through my garden forever.”,Alfred Tennyson,"friendship,love"
“If I had a flower for every time I thought of you...I could walk through my garden forever.”,Charles Bukowski,humor
“If I had a flower for every time I thought of you...I could walk through my garden forever.”,Terry Pratchett,"humor,open-mind,thinking"
“If I had a flower for every time I thought of you...I could walk through my garden forever.”,Dr. Seuss,"humor,philosophy"
“If I had a flower for every time I thought of you...I could walk through my garden forever.”,J.D. Salinger,"authors,books,literature,reading,writing"
“If I had a flower for every time I thought of you...I could walk through my garden forever.”,George Carlin,"humor,insanity,lies,lying,self-indulgence,truth"
“If I had a flower for every time I thought of you...I could walk through my garden forever.”,John Lennon,"beatles,connection,dreamers,dreaming,dreams,hope,inspirational,peace"
“If I had a flower for every time I thought of you...I could walk through my garden forever.”,W.C. Fields,"humor,sinister"
“If I had a flower for every time I thought of you...I could walk through my garden forever.”,Ayn Rand,
“If I had a flower for every time I thought of you...I could walk through my garden forever.”,Mark Twain,"books,classic,reading"
“Anyone who has never made a mistake has never tried anything new.”,Albert Einstein,mistakes
“Anyone who has never made a mistake has never tried anything new.”,Jane Austen,"humor,love,romantic,women"
“Anyone who has never made a mistake has never tried anything new.”,J.K. Rowling,integrity
“Anyone who has never made a mistake has never tried anything new.”,Jane Austen,"books,library,reading"
“Anyone who has never made a mistake has never tried anything new.”,Jane Austen,"elizabeth-bennet,jane-austen"
“Anyone who has never made a mistake has never tried anything new.”,C.S. Lewis,"age,fairytales,growing-up"
“Anyone who has never made a mistake has never tried anything new.”,C.S. Lewis,god
“Anyone who has never made a mistake has never tried anything new.”,Mark Twain,"death,life"
“Anyone who has never made a mistake has never tried anything new.”,Mark Twain,"misattributed-mark-twain,truth"
“Anyone who has never made a mistake has never tried anything new.”,C.S. Lewis,"christianity,faith,religion,sun"
"“The truth."" Dumbledore sighed. ""It is a beautiful and terrible thing, and should therefore be treated with great caution.”",J.K. Rowling,truth
"“The truth."" Dumbledore sighed. ""It is a beautiful and terrible thing, and should therefore be treated with great caution.”",Jimi Hendrix,"death,life"
"“The truth."" Dumbledore sighed. ""It is a beautiful and terrible thing, and should therefore be treated with great caution.”",J.M. Barrie,"adventure,love"
"“The truth."" Dumbledore sighed. ""It is a beautiful and terrible thing, and should therefore be treated with great caution.”",E.E. Cummings,courage
"“The truth."" Dumbledore sighed. ""It is a beautiful and terrible thing, and should therefore be treated with great caution.”",Khaled Hosseini,life
"“The truth."" Dumbledore sighed. ""It is a beautiful and terrible thing, and should therefore be treated with great caution.”",Harper Lee,better-life-empathy
"“The truth."" Dumbledore sighed. ""It is a beautiful and terrible thing, and should therefore be treated with great caution.”",Madeleine L'Engle,"books,children,difficult,grown-ups,write,writers,writing"
"“The truth."" Dumbledore sighed. ""It is a beautiful and terrible thing, and should therefore be treated with great caution.”",Mark Twain,truth
"“The truth."" Dumbledore sighed. ""It is a beautiful and terrible thing, and should therefore be treated with great caution.”",Dr. Seuss,inspirational
"“The truth."" Dumbledore sighed. ""It is a beautiful and terrible thing, and should therefore be treated with great caution.”",George R.R. Martin,"books,mind"
